date,PE_76kWh_Total_新一代智己LS6 Max,PE_76kWh_Total_新一代智己LS6 Max+,PE_76kWh_Retained_新一代智己LS6 Max,PE_76kWh_Retained_新一代智己LS6 Max+,PE_76kWh_Share_新一代智己LS6 Max,PE_76kWh_Share_新一代智己LS6 Max+,EREV_CM2_Total_新一代智己LS6 52 Max,EREV_CM2_Total_新一代智己LS6 66 Max,EREV_CM2_Retained_新一代智己LS6 52 Max,EREV_CM2_Retained_新一代智己LS6 66 Max,EREV_CM2_Share_新一代智己LS6 52 Max,EREV_CM2_Share_新一代智己LS6 66 Max,LS9_Total_52kWh,LS9_Total_66kWh,LS9_Retained_52kWh,LS9_Retained_66kWh,LS9_Share_52kWh,LS9_Share_66kWh
2025-09-10,1041.0,390.0,941.0,349.0,0.7274633123689728,0.27253668763102723,330.0,2399.0,285.0,2081.0,0.12092341517039208,0.8790765848296079,,,,,,
2025-09-11,255.0,99.0,228.0,92.0,0.7203389830508474,0.2796610169491525,102.0,510.0,86.0,416.0,0.16666666666666666,0.8333333333333334,,,,,,
2025-09-12,161.0,56.0,149.0,53.0,0.7419354838709677,0.25806451612903225,62.0,254.0,54.0,192.0,0.1962025316455696,0.8037974683544303,,,,,,
2025-09-13,252.0,81.0,239.0,74.0,0.7567567567567568,0.24324324324324326,83.0,343.0,78.0,274.0,0.19483568075117372,0.8051643192488263,,,,,,
2025-09-14,302.0,95.0,284.0,84.0,0.760705289672544,0.23929471032745592,109.0,379.0,99.0,284.0,0.22336065573770492,0.7766393442622951,,,,,,
2025-09-15,90.0,24.0,82.0,21.0,0.7894736842105263,0.21052631578947367,48.0,108.0,40.0,85.0,0.3076923076923077,0.6923076923076923,,,,,,
2025-09-16,74.0,32.0,69.0,29.0,0.6981132075471698,0.3018867924528302,48.0,90.0,42.0,75.0,0.34782608695652173,0.6521739130434783,,,,,,
2025-09-17,91.0,23.0,82.0,20.0,0.7982456140350878,0.20175438596491227,36.0,84.0,33.0,67.0,0.3,0.7,,,,,,
2025-09-18,83.0,23.0,79.0,23.0,0.7830188679245284,0.2169811320754717,45.0,80.0,42.0,55.0,0.36,0.64,,,,,,
2025-09-19,63.0,27.0,59.0,27.0,0.7,0.3,24.0,77.0,23.0,69.0,0.2376237623762376,0.7623762376237624,,,,,,
2025-09-20,165.0,48.0,155.0,43.0,0.7746478873239436,0.22535211267605634,76.0,172.0,71.0,130.0,0.3064516129032258,0.6935483870967742,,,,,,
2025-09-21,229.0,59.0,212.0,53.0,0.7951388888888888,0.2048611111111111,94.0,217.0,83.0,160.0,0.3022508038585209,0.6977491961414791,,,,,,
2025-09-22,94.0,27.0,86.0,24.0,0.7768595041322314,0.2231404958677686,50.0,82.0,46.0,60.0,0.3787878787878788,0.6212121212121212,,,,,,
